"Bolagsnamn";"Info";"Börsvärde";"Aktiekurs";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kurs / MA";"Kurs / MA"
"";"Lista";"Senaste";"Senaste";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"MA 50d";"MA 200d"
"Holmen B";"Large Cap";61045,73046875;377;0,0123523259162903;0,216129035949707;0,398367919921875;-0,0290811657905579;0,106792211532593
"Hufvudstaden A";"Large Cap";25169,44921875;122,699996948242;-0,0774436330795288;0,125688047409058;-0,287870025634766;-0,0491025447845459;-0,00746625661849976
"Husqvarna B";"Large Cap";59873,0390625;104,599998474121;0,166369285583496;0,105474481582642;0,628776016235352;-0,015130877494812;0,13798511505127
"I.A.R Systems";"Mid Cap";1793,7080078125;131,600006103516;-0,0532373666763306;-0,18865592956543;-0,167088565826416;-0,0709363222122192;-0,0721219778060913
"Image Systems";"Small Cap";115,523101806641;1,29499995708466;-0,0335821461677551;0,245192317962646;-0,0750000143051147;-0,0301805138587952;0,0960085391998291
"Industrivärden C";"Large Cap";125335,703125;289,899993896484;0,110727949142456;0,260434761047363;0,340268096923828;0,0618035793304443;0,197922706604004
"Indutrade";"Large Cap";71704,8828125;197,199996948242;0,241813564300537;0,293963279724121;0,905927200317383;0,0916538238525391;0,269778614044189
"Rolling Optics";"First North";426,736694335938;3,09999990463257;0,156716356277466;0,0264900422096252;-0,575342483520508;-0,168187198638916;0,0152699947357178
"Intrum";"Large Cap";30135,880859375;243,199996948242;0,0676031351089478;0,120737314224243;0,0283297967910767;0,0672658681869507;0,125865936279297
"Investor B";"Large Cap";491394,3125;642,599975585938;0,085106315612793;0,158255205154419;0,346323051452637;0,0346159934997559;0,138617630004883
"ITAB Shop Concept";"Mid Cap";1464,07702636719;14,3000001907349;0,136724987030029;0,0735736131668091;0,105100517272949;-0,240024681091309;-0,00955808162689209
"JM";"Large Cap";21361,599609375;304,899993896484;0,102712459564209;0,171340789794922;0,161523780822754;0,0370043516159058;0,156256790161133
"Kabe";"Small Cap";1615,5;179,5;0,184818477630615;0,136075944900513;0,391472854614258;0,100281953811646;0,146287326812744
"Karo Pharma";"Mid Cap";11386,669921875;50,5999984741211;-0,200631923675537;-0,205651531219482;0,253095512390137;0,00100886821746826;-0,134772834777832
"Kinnevik B";"Large Cap";111084,203125;401,600006103516;-0,00753734767436981;0,186060237884521;1,06478149414063;-0,0417011976242065;0,157501335144043
"Klövern A";"Large Cap";12032,25;13,1499996185303;-0,0607143115997314;-0,0366300368309021;-0,399543380737305;-0,081383171081543;-0,11722749710083
"KnowIT";"Mid Cap";5205,60009765625;270;-0,0235081362724304;0,238532104492188;0,546391716003418;-0,0779632949829102;0,174556503295898
"Kungsleden";"Large Cap";19426,94921875;88,9499969482422;-0,0144044661521912;0,279856071472168;-0,101061143875122;0,0089724063873291;0,11386251449585
